Y_0,Y_1,Y_2,Y_3,X_0
2.123199999999999810e-01,3.823900000000000077e-01,1.197879999999999834e+00,1.574189999999999978e+00,1.011679910150193429e+00
2.109900000000000109e-01,3.783500000000000196e-01,1.189779999999999838e+00,1.569550000000000001e+00,1.042336877124441896e+00
2.097300000000000275e-01,3.743900000000000006e-01,1.181449999999999889e+00,1.564079999999999915e+00,1.072993844098690142e+00
2.085400000000000031e-01,3.705100000000000060e-01,1.172889999999999988e+00,1.557790000000000008e+00,1.103650811072938387e+00
2.074400000000000133e-01,3.666800000000000059e-01,1.164080000000000004e+00,1.550620000000000109e+00,1.134307778047186632e+00
2.064199999999999924e-01,3.628800000000000359e-01,1.155040000000000067e+00,1.542550000000000088e+00,1.164964745021434878e+00
2.054800000000000237e-01,3.590700000000000003e-01,1.145770000000000177e+00,1.533560000000000034e+00,1.195621711995683345e+00
2.046099999999999863e-01,3.552099999999999702e-01,1.136270000000000113e+00,1.523600000000000065e+00,1.226278678969931590e+00
2.038000000000000089e-01,3.513000000000000012e-01,1.126579999999999915e+00,1.512639999999999985e+00,1.256935645944179836e+00
2.030700000000000005e-01,3.473600000000000021e-01,1.116710000000000091e+00,1.500670000000000170e+00,1.287592612918428081e+00
2.023999999999999966e-01,3.434099999999999930e-01,1.106670000000000043e+00,1.487630000000000008e+00,1.318249579892676326e+00
2.018000000000000071e-01,3.395199999999999885e-01,1.096470000000000056e+00,1.473510000000000097e+00,1.348906546866924794e+00
2.012700000000000045e-01,3.357499999999999929e-01,1.086119999999999974e+00,1.458260000000000112e+00,1.379563513841173039e+00
2.008400000000000185e-01,3.321899999999999853e-01,1.075629999999999864e+00,1.441889999999999894e+00,1.410220480815421285e+00
2.004900000000000015e-01,3.288699999999999957e-01,1.064980000000000038e+00,1.424339999999999939e+00,1.440877447789669530e+00
2.002500000000000113e-01,3.258599999999999830e-01,1.054179999999999895e+00,1.405610000000000026e+00,1.471534414763917775e+00
2.001099999999999823e-01,3.232099999999999973e-01,1.043229999999999880e+00,1.385720000000000063e+00,1.502191381738166243e+00
2.000699999999999978e-01,3.209199999999999831e-01,1.032120000000000148e+00,1.364649999999999919e+00,1.532848348712414488e+00
2.001300000000000023e-01,3.190100000000000158e-01,1.020839999999999970e+00,1.342430000000000012e+00,1.563505315686662733e+00
2.002899999999999958e-01,3.175000000000000044e-01,1.009390000000000009e+00,1.319110000000000005e+00,1.594162282660910979e+00
2.005399999999999960e-01,3.163799999999999946e-01,9.977700000000000458e-01,1.294729999999999936e+00,1.624819249635159224e+00
2.008699999999999930e-01,3.156400000000000317e-01,9.859600000000000586e-01,1.269349999999999978e+00,1.655476216609407691e+00
2.012799999999999867e-01,3.152499999999999747e-01,9.739600000000000479e-01,1.243060000000000054e+00,1.686133183583655937e+00
2.017599999999999949e-01,3.151700000000000057e-01,9.617499999999999938e-01,1.215929999999999955e+00,1.716790150557904182e+00
